"BBVA.Open" "BBVA.High" "BBVA.Low" "BBVA.Close" "BBVA.Volume" "BBVA.Adjusted"
"2015-01-02" 9.60999965667725 9.64000034332275 9.47000026702881 9.52999973297119 1715300 6.19850301742554
"2015-01-05" 9.15999984741211 9.17000007629395 9.01000022888184 9.05000019073486 3824100 5.88630199432373
"2015-01-06" 9.0600004196167 9.10999965667725 8.82999992370605 8.88000011444092 2690300 5.77573204040527
"2015-01-07" 8.9399995803833 8.97000026702881 8.78999996185303 8.93000030517578 3242600 5.80825281143188
"2015-01-08" 8.80000019073486 8.97000026702881 8.80000019073486 8.8100004196167 3166700 5.73020124435425
"2015-01-09" 8.80000019073486 8.8100004196167 8.5600004196167 8.69999980926514 3148000 5.65865516662598
"2015-01-12" 8.73999977111816 8.80000019073486 8.59000015258789 8.71000003814697 2100000 5.66515970230103
"2015-01-13" 8.82999992370605 8.88000011444092 8.63000011444092 8.71000003814697 2845700 5.66515970230103
"2015-01-14" 8.72999954223633 8.80000019073486 8.68000030517578 8.77000045776367 4166600 5.70418453216553
"2015-01-15" 8.72000026702881 8.73999977111816 8.60999965667725 8.64000034332275 4265700 5.61962985992432
"2015-01-16" 8.64999961853027 8.78999996185303 8.59000015258789 8.77000045776367 4552800 5.70418453216553
"2015-01-20" 9.06999969482422 9.07999992370605 8.97999954223633 9.02000045776367 3962000 5.86678981781006
"2015-01-21" 8.9399995803833 9.11999988555908 8.93000030517578 9.10000038146973 3014900 5.91882276535034
"2015-01-22" 9.14000034332275 9.22000026702881 9.05000019073486 9.17000007629395 2428900 5.96435308456421
"2015-01-23" 8.93000030517578 9 8.86999988555908 8.93000030517578 2428500 5.80825281143188
"2015-01-26" 9.03999996185303 9.06999969482422 8.97999954223633 9.02000045776367 2508500 5.86678981781006
"2015-01-27" 8.94999980926514 9.02999973297119 8.88000011444092 8.98999977111816 1516400 5.84727811813354
"2015-01-28" 8.68000030517578 8.6899995803833 8.4399995803833 8.4399995803833 2792500 5.48954582214355
"2015-01-29" 8.5600004196167 8.67000007629395 8.53999996185303 8.64999961853027 2975900 5.62613439559937
"2015-01-30" 8.60999965667725 8.67000007629395 8.48999977111816 8.52000045776367 3208800 5.54158020019531
"2015-02-02" 8.51000022888184 8.72000026702881 8.51000022888184 8.71000003814697 2195100 5.66515970230103
"2015-02-03" 9 9.17000007629395 9 9.14999961853027 4357900 5.95134449005127
"2015-02-04" 9.27999973297119 9.34000015258789 9.14000034332275 9.15999984741211 5159200 5.95784854888916
"2015-02-05" 9.22999954223633 9.31999969482422 9.1899995803833 9.3100004196167 2124900 6.05541086196899
"2015-02-06" 9.3100004196167 9.36999988555908 9.21000003814697 9.22999954223633 2782600 6.00337743759155
"2015-02-09" 9 9.10999965667725 8.97999954223633 9.06999969482422 2744100 5.89931058883667
"2015-02-10" 9.23999977111816 9.25 9.11999988555908 9.21000003814697 2596800 5.99036979675293
"2015-02-11" 9.14999961853027 9.14999961853027 9 9.07999992370605 3701400 5.90581464767456
"2015-02-12" 9.35000038146973 9.44999980926514 9.32999992370605 9.44999980926514 2349400 6.14647006988525
"2015-02-13" 9.64000034332275 9.76000022888184 9.63000011444092 9.6899995803833 3254200 6.30257081985474
"2015-02-17" 9.78999996185303 9.81999969482422 9.64000034332275 9.77000045776367 1943400 6.35460472106934
"2015-02-18" 9.89000034332275 9.94999980926514 9.84000015258789 9.89999961853027 2533500 6.43915891647339
"2015-02-19" 9.92000007629395 10 9.88000011444092 9.92000007629395 1605000 6.45216846466064
"2015-02-20" 9.81999969482422 10.1599998474121 9.73999977111816 10.1199998855591 4380300 6.58225250244141
"2015-02-23" 9.97000026702881 10.039999961853 9.9399995803833 10 1715600 6.50420141220093
"2015-02-24" 10 10.0600004196167 9.96000003814697 10.0200004577637 1630700 6.51721096038818
"2015-02-25" 9.9399995803833 9.98999977111816 9.90999984741211 9.96000003814697 1331900 6.47818517684937
"2015-02-26" 9.97000026702881 10.0100002288818 9.90999984741211 9.94999980926514 1541700 6.47168159484863
