ds,y
1978-01-01,381224
1978-02-01,356039
1978-03-01,499520
1978-04-01,496170
1978-05-01,633790
1978-06-01,698856
1978-07-01,850385
1978-08-01,834694
1978-09-01,798610
1978-10-01,631330
1978-11-01,442344
1978-12-01,451247
1979-01-01,439713
1979-02-01,359652
1979-03-01,469822
1979-04-01,603974
1979-05-01,628755
1979-06-01,699716
1979-07-01,815738
1979-08-01,810695
1979-09-01,747035
1979-10-01,610660
1979-11-01,433616
1979-12-01,439193
1980-01-01,434555
1980-02-01,402492
1980-03-01,485164
1980-04-01,500290
1980-05-01,595291
1980-06-01,638400
1980-07-01,747148
1980-08-01,750038
1980-09-01,692340
1980-10-01,550431
1980-11-01,383827
1980-12-01,398442
1981-01-01,358549
1981-02-01,344192
1981-03-01,416879
1981-04-01,511502
1981-05-01,565008
1981-06-01,644743
1981-07-01,735321
1981-08-01,724042
1981-09-01,702507
1981-10-01,567721
1981-11-01,398494
1981-12-01,403197
1982-01-01,384551
1982-02-01,361110
1982-03-01,456999
1982-04-01,513240
1982-05-01,601735
1982-06-01,644353
1982-07-01,763153
1982-08-01,709794
1982-09-01,693069
1982-10-01,538657
1982-11-01,390058
1982-12-01,399045
1983-01-01,389658
1983-02-01,351091
1983-03-01,472381
1983-04-01,473612
1983-05-01,602682
1983-06-01,661787
1983-07-01,740118
1983-08-01,695434
1983-09-01,718725
1983-10-01,587386
1983-11-01,395903
1983-12-01,397221
1984-01-01,391455
1984-02-01,356945
1984-03-01,443172
1984-04-01,516038
1984-05-01,637952
1984-06-01,643925
1984-07-01,675483
1984-08-01,690329
1984-09-01,685866
1984-10-01,600946
1984-11-01,385830
1984-12-01,375080
1985-01-01,367099
1985-02-01,352524
1985-03-01,439091
1985-04-01,529445
1985-05-01,549144
1985-06-01,593215
1985-07-01,673571
1985-08-01,659023
1985-09-01,642002
1985-10-01,556578
1985-11-01,393131
1985-12-01,372795
1986-01-01,385140
1986-02-01,375412
1986-03-01,473337
1986-04-01,491015
1986-05-01,633983
1986-06-01,681803
1986-07-01,755969
1986-08-01,735214
1986-09-01,774045
1986-10-01,653659
1986-11-01,457517
1986-12-01,453563
1987-01-01,431598
1987-02-01,419341
1987-03-01,495722
1987-04-01,593234
1987-05-01,740496
1987-06-01,796600
1987-07-01,870529
1987-08-01,821755
1987-09-01,857179
1987-10-01,750720
1987-11-01,530505
1987-12-01,487626
1988-01-01,479785
1988-02-01,496414
1988-03-01,611328
1988-04-01,615168
1988-05-01,785412
1988-06-01,829951
1988-07-01,895505
1988-08-01,838508
1988-09-01,910274
1988-10-01,779682
1988-11-01,571168
1988-12-01,537650
1989-01-01,480262
1989-02-01,486616
1989-03-01,661180
1989-04-01,688078
1989-05-01,907302
1989-06-01,922081
1989-07-01,963467
1989-08-01,916685
1989-09-01,921948
1989-10-01,818353
1989-11-01,650060
1989-12-01,622325
1990-01-01,612349
1990-02-01,592907
1990-03-01,730585
1990-04-01,814475
1990-05-01,837005
1990-06-01,892349
1990-07-01,964236
1990-08-01,957535
1990-09-01,943141
1990-10-01,872459
1990-11-01,676615
1990-12-01,637715
1991-01-01,582302
1991-02-01,502626
1991-03-01,640639
1991-04-01,789510
1991-05-01,796353
1991-06-01,862532
1991-07-01,931051
1991-08-01,971326
1991-09-01,972683
1991-10-01,897176
1991-11-01,723291
1991-12-01,682286
1992-01-01,653120
1992-02-01,641001
1992-03-01,787147
1992-04-01,884145
1992-05-01,909161
1992-06-01,949596
1992-07-01,1063327
1992-08-01,1149826
1992-09-01,1066681
1992-10-01,917227
1992-11-01,703155
1992-12-01,703897
1993-01-01,834120
1993-02-01,841930
1993-03-01,791084
1993-04-01,874487
1993-05-01,883263
1993-06-01,921189
1993-07-01,1013421
1993-08-01,1013300
1993-09-01,984813
1993-10-01,888982
1993-11-01,701773
1993-12-01,694735
1994-01-01,627348
1994-02-01,667902
1994-03-01,891420
1994-04-01,872318
1994-05-01,1012522
1994-06-01,1038528
1994-07-01,1113251
1994-08-01,1091405
1994-09-01,1115368
1994-10-01,869899
1994-11-01,782612
1994-12-01,773871
1995-01-01,737419
1995-02-01,736973
1995-03-01,932029
1995-04-01,1047703
1995-05-01,1128982
1995-06-01,1184335
1995-07-01,1252304
1995-08-01,1224817
1995-09-01,1263556
1995-10-01,1117046
1995-11-01,833291
1995-12-01,854054
1996-01-01,818598
1996-02-01,859820
1996-03-01,1043628
1996-04-01,1134713
1996-05-01,1215624
1996-06-01,1301948
1996-07-01,1406671
1996-08-01,1406931
1996-09-01,1383773
1996-10-01,1279409
1996-11-01,1007638
1996-12-01,965334
1997-01-01,916520
1997-02-01,957630
1997-03-01,1200532
1997-04-01,1305146
1997-05-01,1411008
1997-06-01,1480064
1997-07-01,1591898
1997-08-01,1626844
1997-09-01,1556541
1997-10-01,1402764
1997-11-01,1094472
1997-12-01,1043739
1998-01-01,969260
1998-02-01,1060072
1998-03-01,1272441
1998-04-01,1432080
1998-05-01,1430997
1998-06-01,1575146
1998-07-01,1721516
1998-08-01,1718412
1998-09-01,1701720
1998-10-01,1530959
1998-11-01,1259612
1998-12-01,1141810
1999-01-01,1057294
1999-02-01,1152003
1999-03-01,1384835
1999-04-01,1461574
1999-05-01,1692236
1999-06-01,1704333
1999-07-01,1876757
1999-08-01,1876214
1999-09-01,1863177
1999-10-01,1724826
1999-11-01,1356690
1999-12-01,1202684
2000-01-01,1135817
2000-02-01,1270537
2000-03-01,1613567
2000-04-01,1707778
2000-05-01,1921245
2000-06-01,1969557
2000-07-01,2146672
2000-08-01,2120550
2000-09-01,2090487
2000-10-01,1824877
2000-11-01,1499663
2000-12-01,1388092
2001-01-01,1316310
2001-02-01,1393503
2001-03-01,1705159
2001-04-01,1917041
2001-05-01,2024965
2001-06-01,2143216
2001-07-01,2267789
2001-08-01,2309865
2001-09-01,2174611
2001-10-01,1862665
2001-11-01,1449478
2001-12-01,1316649
2002-01-01,1291451
2002-02-01,1417154
2002-03-01,1744589
2002-04-01,1867369
2002-05-01,1999632
2002-06-01,2087756
